subj size,query size,success,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,540,29048839,53794,6714421,12434,7832222,14504,10800,20,391355,725
100,5,OK,528,28660886,54282,8137232,15411,9448405,17895,10560,20,472174,894
100,10,OK,386,20993292,54387,6071266,15729,8086598,20950,7720,20,404141,1047
100,20,OK,200,11017860,55089,3243687,16218,5094112,25471,4000,20,254611,1273
100,30,OK,106,6004191,56643,1783027,16821,3055269,28823,2120,20,152711,1441
1000,1,OK,540,49115759,90955,10147660,18792,18282139,33856,10800,20,913852,1692
1000,5,OK,526,48215456,91664,11898675,22621,21219794,40342,10520,20,1060744,2017
1000,10,OK,462,42450804,91885,10533040,22799,19737164,42721,9240,20,986638,2136
1000,20,OK,350,32244452,92127,8108456,23167,16203653,46296,7000,20,810006,2314
1000,30,OK,278,25772860,92708,6718744,24168,13535168,48688,5560,20,676630,2434
10000,1,OK,540,85084231,157563,17726991,32828,89887304,166458,10800,20,4494107,8322
10000,5,OK,488,76518590,156800,19426307,39808,91308154,187107,9760,20,4565177,9355
10000,10,OK,452,71264388,157665,18229984,40332,86653841,191712,9040,20,4332483,9585
10000,20,OK,422,67368210,159640,17458450,41371,83606094,198119,8440,20,4180110,9905
10000,30,OK,396,62707865,158353,16624852,41982,78628467,198557,7920,20,3931242,9927
100000,1,OK,540,269413436,498914,74150967,137317,699323923,1295044,10800,20,34965938,64752
100000,5,OK,494,245553534,497072,78436555,158778,714974504,1447317,9880,20,35748482,72365
100000,10,OK,482,238303506,494406,77405236,160592,709446122,1471880,9640,20,35472068,73594
100000,20,OK,426,211377438,496191,69339307,162768,644941312,1513947,8520,20,32246866,75697
100000,30,OK,376,186480736,495959,63410671,168645,580201360,1543089,7520,20,29009889,77154
1000000,1,OK,540,959054694,1776027,470828264,871904,6930087001,12833494,10800,20,346504096,641674
1000000,5,OK,512,904766354,1767122,602964025,1177664,9304588840,18173025,10240,20,465229204,908651
1000000,10,OK,506,895627575,1770015,697608275,1378672,11155915606,22047264,10120,20,557795544,1102363
1000000,20,OK,444,785422158,1768969,615986175,1387356,9831956076,22144045,8880,20,491597592,1107202
1000000,30,OK,438,778248322,1776823,714893930,1632178,11842916610,27038622,8760,20,592145618,1351931
